"","text"
"1","the app is really slow i had paid for instant conselour session but it took a long time only to open the chat box even when i tried to open other feature it only keeps loading when the chatbox was opened and i wrote all of my problems there were no response at all i have waited for  hour and i dont know when will she start responding wanted to use this app to relieve my stress but it only stress me out even more i shouldve listened to all the bad review to not use this app"
"2","im not quite sure whether my concern fall to the false advertising category or not but putting tanpa harus menunggu and youll ended up have to wait at least for a week to get a schedule is quite a low shot i understand the scheduling would be a hassle but that is the service that you guys are trying to sell i honestly felt cheated when i was about to buy the package if i can have a say either change the ads or fix your scheduling system thank you"
"3","often login failed app is suck because i tried login many times but cant finished you must fix your backend process"
"4","waiting too long for a psychologists reply makes me even more frustrated even though its still at the beginning of the session to set the counseling schedule i hope this app can set the schedule automatically at first according to the psychologists availability it looks like psychologist are busy with other things and dont focus on responding to what i told them their answers way too standart even i can find it on many articles on the internet really like this app tho please fix this"
"5","i am using this for meditation since i believe counseling is better in doing it offline the meditation helps me a lot i know that meditation wont solve your problem instantly but the key is consistency so far i see my self getting better in keeping my focus and enrich my mindfulness so thank you"
"6","been using this app since january  this app helps me maintain my moods my sleeping time and take care of my mental health the journal helps a little but still need sum improvement it would be nice if the psychologcounselors could review our daily journal while we do counseling chat and also please improve the app to help those who had selfharmed issue and sudal thoughts but over all keep on the good works riliv"
"7","i used this app and their service several times and the therapist is always able to find the solution of my problem sometimes the solution is just as simple as mindset shift which i didnt see because i was too focus on the problem the therapists are very kind and able to listen without judging or belittle me and my problems thank you"
"8","there are only  genders to choose from it makes me feel rather uncomfortable but other than that everything is okay ive heard that the counseling chat is pretty good so ill try that out soon edit i just recently checked the app again and im so glad changes have been made since my last visit the pricing for the therapy sessions are thankfully affordable for me personally but i can see it being quite pricey for some but i do think that they have a lot of really good free materials"
"9","this app is really helpful besides providing online counselling with professionals it does give me self help guidance for meditations journaling helping me to get better sleep and especially the emergency ones please keep this up and better in the future"
"10","great app would be better if the meditation track can be played offline when the network quality is bad the meditation track will stop and i have to restart it offline playing will also be helpful when meditating in airplane"
"11","this app really helps me practice my meditation it offers guided meditation and step by step to improve my mind i was full of selfdoubt and anxiety before ive been meditating for about  month and i feel a lot calmer now another thing i notice is i also appreciate the little things in life more worth every penny"
"12","best app for selfhealing recommended and really worth to try guided meditation helps me to be more mindful about myself being aware and accept myself reduce my anxiety and stress meditation also helps me to become more driven and focused it helps me sleep better as well from meditation i learn that happiness is all on my mind "
"13","besically its good app but my perfectionist side of me hates it when the chat didnt start with a capital letters and the notifications where are they lol also about the psycholog is helpful but one i got they asked me back abouut my own confusion i understand its pretty subjective but still its just intricate details that i decided to give this app four star"
"14","easy to use price is okayish would be happy if its cheaper but i mean its still cheaper than most looking forward for more features"
"15","while i rarely use this app it provides contents that help me calm down during my panic or stress sessions ill give four stars since i havent tested out its full features yet but the contents i have discovered are helpful"
"16","the app is useless so i will rate it as  cuz this is google playstore right ehe we use line for consultation instead because theres a trouble with the app dam i hate line lol hope they can provide better social media instead of line for the consultation i bought the x consultation package k each k total its kinda worth it till we do the th consultation but because i kinda ignored line for a reason after the th they ignored me back  we lost contacts kinda dissapointed"
"17","cant even login"
"18","this app has helped me with mental health and sleep a lot the voices are soothing and the instructions are clear thank you for the experience"
